iter	Passed	Remaining
0	13	27760
1	25	25889
2	37	24955
3	49	24508
4	61	24677
5	74	24714
6	86	24668
7	98	24566
8	110	24528
9	123	24566
10	134	24406
11	146	24226
12	157	24098
13	169	24078
14	181	24026
15	196	24331
16	208	24318
17	220	24242
18	231	24128
19	243	24100
20	255	24054
21	267	24069
22	279	24000
23	290	23958
24	303	23937
25	314	23867
26	325	23815
27	338	23818
28	350	23828
29	363	23864
30	375	23825
31	386	23773
32	400	23859
33	413	23915
34	425	23893
35	437	23888
36	449	23872
37	461	23827
38	473	23806
39	485	23806
40	498	23833
41	513	23927
42	526	23967
43	540	24006
44	553	24040
45	565	24022
46	577	24001
47	589	23964
48	604	24080
49	616	24059
50	629	24063
51	641	24028
52	652	23963
53	664	23939
54	676	23920
55	688	23892
56	700	23882
57	712	23852
58	724	23839
59	735	23793
60	747	23748
61	758	23712
62	770	23694
63	783	23690
64	794	23651
65	808	23702
66	820	23679
67	832	23663
68	845	23671
69	857	23645
70	869	23624
71	881	23615
72	892	23568
73	905	23561
74	917	23560
75	929	23531
76	941	23509
77	953	23487
78	964	23463
79	976	23441
80	988	23426
81	1001	23425
82	1016	23473
83	1028	23459
84	1040	23433
85	1051	23412
86	1064	23410
87	1078	23441
88	1092	23449
89	1104	23445
90	1116	23418
91	1127	23390
92	1139	23364
93	1152	23359
94	1163	23324
95	1175	23312
96	1187	23290
97	1198	23264
98	1212	23288
99	1226	23303
100	1240	23318
101	1251	23293
102	1263	23270
103	1275	23248
104	1286	23225
105	1299	23217
106	1311	23194
107	1323	23185
108	1334	23159
109	1347	23152
110	1358	23127
111	1370	23108
112	1382	23086
113	1394	23066
114	1406	23047
115	1417	23021
116	1431	23034
117	1447	23093
118	1460	23081
119	1472	23066
120	1484	23047
121	1497	23059
122	1511	23065
123	1524	23065
124	1537	23064
125	1551	23077
126	1565	23086
127	1578	23089
128	1592	23097
129	1606	23107
130	1621	23133
131	1635	23141
132	1649	23158
133	1663	23168
134	1676	23163
135	1690	23167
136	1704	23172
137	1718	23188
138	1733	23215
139	1748	23223
140	1761	23217
141	1774	23219
142	1788	23228
143	1802	23227
144	1815	23232
145	1829	23236
146	1843	23241
147	1856	23234
148	1868	23214
149	1880	23195
150	1892	23167
151	1903	23144
152	1915	23122
153	1928	23113
154	1940	23103
155	1953	23087
156	1964	23062
157	1978	23060
158	1990	23043
159	2001	23022
160	2013	23003
161	2026	22988
162	2039	22985
163	2052	22981
164	2065	22970
165	2076	22946
166	2088	22928
167	2101	22912
168	2113	22893
169	2124	22873
170	2136	22853
171	2148	22832
172	2159	22809
173	2171	22793
174	2183	22771
175	2195	22756
176	2207	22733
177	2219	22716
178	2230	22694
179	2244	22689
180	2257	22685
181	2268	22664
182	2280	22638
183	2291	22617
184	2302	22594
185	2314	22576
186	2326	22556
187	2341	22564
188	2352	22545
189	2364	22529
190	2376	22510
191	2388	22493
192	2400	22471
193	2412	22454
194	2423	22428
195	2437	22431
196	2451	22440
197	2466	22444
198	2479	22436
199	2493	22440
200	2505	22427
201	2517	22410
202	2530	22396
203	2542	22384
204	2554	22370
205	2566	22350
206	2578	22334
207	2591	22322
208	2603	22312
209	2614	22287
210	2626	22268
211	2639	22258
212	2651	22246
213	2665	22242
214	2677	22227
215	2689	22216
216	2701	22194
217	2713	22177
218	2724	22152
219	2736	22142
220	2748	22123
221	2760	22109
222	2771	22088
223	2784	22074
224	2796	22064
225	2808	22048
226	2820	22032
227	2832	22016
228	2845	22006
229	2858	21998
230	2871	21993
231	2884	21978
232	2898	21977
233	2910	21966
234	2922	21951
235	2935	21938
236	2947	21925
237	2959	21910
238	2971	21893
239	2983	21875
240	2994	21859
241	3007	21845
242	3018	21822
243	3029	21803
244	3041	21785
245	3053	21770
